I330	MN	2012	PRJNA279196	SAMN11822023		SRR9131373
I331	MN	2012	PRJNA279196	SAMN03702654	CP011732	SRR5070754,SRR5071057,SRR5839523,SRR5839532
I332	MN	2012	PRJNA279196	SAMN11822024		SRR9131374
I333	MN	2012	PRJNA279196	SAMN11822025		SRR9131367
I334	MN	2012	PRJNA279196	SAMN11822026		SRR9131368
I335	MN	2012	PRJNA279196	SAMN11822027		SRR9131369
I336	MN	2012	PRJNA279196	SAMN11822028		SRR9131370
I337	MN	2012	PRJNA279196	SAMN11822029		SRR9131365
I338	MN	2012	PRJNA279196	SAMN11822030		SRR9131366
I339	MN	2012	PRJNA279196	SAMN11822031		SRR9131416
I340	MN	2012	PRJNA279196	SAMN11822032		SRR9131415
I341	MN	2012	PRJNA279196	SAMN11822033		SRR9131414
I342	MN	2012	PRJNA279196	SAMN11822034		SRR9131413
I343	MN	2012	PRJNA279196	SAMN11822035		SRR9131420
I344	MN	2012	PRJNA266616	SAMN03249375	CP011255	SRR3205794,SRR5070901,SRR5071004,SRR5839116,SRR5839130,SRR5839526
I344	MN	2012	PRJNA266616	SAMN03249375	CP011255	SRR3205794,SRR5070901,SRR5071004,SRR5839116,SRR5839130,SRR5839526
I345	MN	2012	PRJNA279196	SAMN11822036		SRR9131419
I346	MN	2012	PRJNA279196	SAMN11822037		SRR9131418
I347	MN	2012	PRJNA279196	SAMN11822038		SRR9131417
I348	MN	2012	PRJNA279196	SAMN11822039		SRR9131412
I349	MN	2012	PRJNA279196	SAMN11822040		SRR9131411
I350	MN	2012	PRJNA279196	SAMN03702655	CP011733	SRR5070716,SRR5070884,SRR5839123,SRR5839128
I351	MN	2012	PRJNA279196	SAMN03854493	CP012081	SRR5070854,SRR5070866,SRR5839120,SRR5839124
I352	MN	2012	PRJNA279196	SAMN11822041		SRR9131352
I353	MN	2012	PRJNA279196	SAMN11822042		SRR9131353
I354	MN	2012	PRJNA279196	SAMN11822043		SRR9131350
I355	MN	2012	PRJNA279196	SAMN11822044		SRR9131351
I356	MN	2012	PRJNA279196	SAMN11822045		SRR9131356
I357	MN	2012	PRJNA279196	SAMN11822046		SRR9131357
I358	MN	2012	PRJNA279196	SAMN11822047		SRR9131354
I359	MN	2012	PRJNA279196	SAMN11822048		SRR9131355
I360	MN	2012	PRJNA279196	SAMN11822049		SRR9131360
I361	MN	2012	PRJNA279196	SAMN11822050		SRR9131361
I430	MN	2012	PRJNA279196	SAMN11822073		SRR9131375
I431	MN	2012	PRJNA279196	SAMN11822074		SRR9131379
I432	MN	2012	PRJNA279196	SAMN11822075		SRR9131407
I433	MN	2012	PRJNA279196	SAMN11822076		SRR9131410
I434	MN	2012	PRJNA279196	SAMN11822077		SRR9131397
I436	MN	2012	PRJNA279196	SAMN11822079		SRR9131395
I743	MN	2013	PRJNA279196	SAMN03854494	CP012082	SRR5070711,SRR5070930,SRR5851808,SRR5851812,SRR5851819
I744	MN	2013	PRJNA279196	SAMN11822120		SRR9118254
I745	MN	2013	PRJNA279196	SAMN11822121		SRR9118253
I746	MN	2013	PRJNA279196	SAMN11822122		SRR9118252
I747	MN	2012	PRJNA279196	SAMN07352191		SRR5829740,SRR5829775
I748	MN	2013	PRJNA279196	SAMN11822123		SRR9118261
I749	MN	2013	PRJNA279196	SAMN11822124		SRR9118260
I750	MN	2013	PRJNA279196	SAMN11822125		SRR9118274
I956	MN	2013	PRJNA279196	SAMN11822140		SRR9118440
J012	MN	2013	PRJNA279196	SAMN03702673	CP011751	SRR5070810,SRR5070846,SRR5851470,SRR5851484
J013	MN	2013	PRJNA279196	SAMN03854498	CP012086	SRR5070706,SRR5070898,SRR5851472,SRR5851475
J014	MN	2013	PRJNA279196	SAMN03877223	CP012135	SRR5829804,SRR5829823
